date,sku_name,sales,store
2013-02-22,Effortless Pant,53,1
2013-02-23,Effortless Pant,61,1
2013-02-24,Effortless Pant,58,1
2013-02-25,Effortless Pant,33,1
2013-02-26,Effortless Pant,50,1
2013-02-27,Effortless Pant,41,1
2013-02-28,Effortless Pant,50,1
2013-03-01,Effortless Pant,77,1
2013-03-02,Effortless Pant,73,1
2013-03-03,Effortless Pant,77,1
2013-03-04,Effortless Pant,32,1
2013-03-05,Effortless Pant,44,1
2013-03-06,Effortless Pant,57,1
2013-03-07,Effortless Pant,52,1
2013-03-08,Effortless Pant,54,1
2013-03-09,Effortless Pant,73,1
2013-03-10,Effortless Pant,94,1
2013-03-11,Effortless Pant,47,1
2013-03-12,Effortless Pant,41,1
2013-03-13,Effortless Pant,61,1
2013-03-14,Effortless Pant,58,1
2013-03-15,Effortless Pant,56,1
2013-03-16,Effortless Pant,77,1
2013-03-17,Effortless Pant,66,1
2013-03-18,Effortless Pant,67,1
2013-03-19,Effortless Pant,38,1
2013-03-20,Effortless Pant,62,1
2013-03-21,Effortless Pant,56,1
2013-03-22,Effortless Pant,51,1
2013-03-23,Effortless Pant,72,1
2013-03-24,Effortless Pant,68,1
2013-03-25,Effortless Pant,45,1
2013-03-26,Effortless Pant,46,1
2013-03-27,Effortless Pant,53,1
2013-03-28,Effortless Pant,66,1
2013-03-29,Effortless Pant,77,1
2013-03-30,Effortless Pant,76,1
2013-03-31,Effortless Pant,74,1
2013-04-01,Effortless Pant,62,1
2013-04-02,Effortless Pant,63,1
2013-04-03,Effortless Pant,73,1
2013-04-04,Effortless Pant,62,1
2013-04-05,Effortless Pant,75,1
2013-04-06,Effortless Pant,88,1
2013-04-07,Effortless Pant,76,1
2013-04-08,Effortless Pant,55,1
2013-04-09,Effortless Pant,60,1
2013-04-10,Effortless Pant,62,1
2013-04-11,Effortless Pant,68,1
2013-04-12,Effortless Pant,84,1
2013-04-13,Effortless Pant,81,1
2013-04-14,Effortless Pant,76,1
2013-04-15,Effortless Pant,57,1
2013-04-16,Effortless Pant,61,1
2013-04-17,Effortless Pant,60,1
2013-04-18,Effortless Pant,63,1
2013-04-19,Effortless Pant,77,1
2013-04-20,Effortless Pant,72,1
2013-04-21,Effortless Pant,87,1
2013-04-22,Effortless Pant,52,1
2013-04-23,Effortless Pant,84,1
2013-04-24,Effortless Pant,75,1
2013-04-25,Effortless Pant,58,1
2013-04-26,Effortless Pant,64,1
2013-04-27,Effortless Pant,91,1
2013-04-28,Effortless Pant,92,1
2013-04-29,Effortless Pant,46,1
2013-04-30,Effortless Pant,70,1
2013-05-01,Effortless Pant,76,1
2013-05-02,Effortless Pant,78,1
2013-05-03,Effortless Pant,71,1
2013-05-04,Effortless Pant,74,1
2013-05-05,Effortless Pant,104,1
2013-05-06,Effortless Pant,62,1
2013-05-07,Effortless Pant,55,1
2013-05-08,Effortless Pant,68,1
2013-05-09,Effortless Pant,89,1
2013-05-10,Effortless Pant,79,1
2013-05-11,Effortless Pant,71,1
2013-05-12,Effortless Pant,78,1
2013-05-13,Effortless Pant,64,1
2013-05-14,Effortless Pant,63,1
2013-05-15,Effortless Pant,84,1
2013-05-16,Effortless Pant,83,1
2013-05-17,Effortless Pant,81,1
2013-05-18,Effortless Pant,83,1
2013-05-19,Effortless Pant,92,1
2013-05-20,Effortless Pant,49,1
2013-05-21,Effortless Pant,77,1
2013-05-22,Effortless Pant,65,1
2013-05-23,Effortless Pant,66,1
2013-05-24,Effortless Pant,93,1
2013-05-25,Effortless Pant,93,1
2013-05-26,Effortless Pant,75,1
2013-05-27,Effortless Pant,61,1
2013-05-28,Effortless Pant,72,1
2013-05-29,Effortless Pant,70,1
2013-05-30,Effortless Pant,78,1
2013-05-31,Effortless Pant,89,1
2013-06-01,Effortless Pant,94,1
2013-06-02,Effortless Pant,94,1
2013-06-03,Effortless Pant,75,1
2013-06-04,Effortless Pant,83,1
2013-06-05,Effortless Pant,65,1
2013-06-06,Effortless Pant,71,1
2013-06-07,Effortless Pant,67,1
2013-06-08,Effortless Pant,88,1
2013-06-09,Effortless Pant,85,1
2013-06-10,Effortless Pant,70,1
2013-06-11,Effortless Pant,75,1
2013-06-12,Effortless Pant,71,1
2013-06-13,Effortless Pant,81,1
2013-06-14,Effortless Pant,112,1
2013-06-15,Effortless Pant,80,1
2013-06-16,Effortless Pant,115,1
2013-06-17,Effortless Pant,49,1
2013-06-18,Effortless Pant,65,1
2013-06-19,Effortless Pant,80,1
2013-06-20,Effortless Pant,86,1
2013-06-21,Effortless Pant,68,1
2013-06-22,Effortless Pant,78,1
2013-06-23,Effortless Pant,97,1
2013-06-24,Effortless Pant,63,1
2013-06-25,Effortless Pant,75,1
2013-06-26,Effortless Pant,79,1
2013-06-27,Effortless Pant,92,1
2013-06-28,Effortless Pant,90,1
2013-06-29,Effortless Pant,82,1
2013-06-30,Effortless Pant,79,1
2013-07-01,Effortless Pant,59,1
2013-07-02,Effortless Pant,88,1
2013-07-03,Effortless Pant,80,1
2013-07-04,Effortless Pant,77,1
2013-07-05,Effortless Pant,90,1
2013-07-06,Effortless Pant,94,1
2013-07-07,Effortless Pant,93,1
2013-07-08,Effortless Pant,56,1
2013-07-09,Effortless Pant,88,1
2013-07-10,Effortless Pant,79,1
2013-07-11,Effortless Pant,79,1
2013-07-12,Effortless Pant,93,1
2013-07-13,Effortless Pant,89,1
2013-07-14,Effortless Pant,95,1
2013-07-15,Effortless Pant,80,1
2013-07-16,Effortless Pant,84,1
2013-07-17,Effortless Pant,78,1
2013-07-18,Effortless Pant,82,1
2013-07-19,Effortless Pant,89,1
2013-07-20,Effortless Pant,79,1
2013-07-21,Effortless Pant,103,1
2013-07-22,Effortless Pant,84,1
2013-07-23,Effortless Pant,75,1
2013-07-24,Effortless Pant,94,1
2013-07-25,Effortless Pant,88,1
2013-07-26,Effortless Pant,74,1
2013-07-27,Effortless Pant,102,1
2013-07-28,Effortless Pant,87,1
2013-07-29,Effortless Pant,50,1
2013-07-30,Effortless Pant,71,1
2013-07-31,Effortless Pant,63,1
2013-08-01,Effortless Pant,64,1
2013-08-02,Effortless Pant,79,1
2013-08-03,Effortless Pant,90,1
2013-08-04,Effortless Pant,99,1
2013-08-05,Effortless Pant,56,1
2013-08-06,Effortless Pant,71,1
2013-08-07,Effortless Pant,70,1
2013-08-08,Effortless Pant,73,1
2013-08-09,Effortless Pant,82,1
2013-08-10,Effortless Pant,106,1
2013-08-11,Effortless Pant,82,1
2013-08-12,Effortless Pant,48,1
2013-08-13,Effortless Pant,69,1
2013-08-14,Effortless Pant,60,1
2013-08-15,Effortless Pant,67,1
2013-08-16,Effortless Pant,78,1
2013-08-17,Effortless Pant,82,1
2013-08-18,Effortless Pant,93,1
2013-08-19,Effortless Pant,53,1
2013-08-20,Effortless Pant,65,1
2013-08-21,Effortless Pant,85,1
2013-08-22,Effortless Pant,79,1
2013-08-23,Effortless Pant,61,1
2013-08-24,Effortless Pant,91,1
2013-08-25,Effortless Pant,83,1
2013-08-26,Effortless Pant,64,1
2013-08-27,Effortless Pant,67,1
2013-08-28,Effortless Pant,58,1
2013-08-29,Effortless Pant,72,1
2013-08-30,Effortless Pant,85,1
2013-08-31,Effortless Pant,88,1
2013-09-01,Effortless Pant,80,1
2013-09-02,Effortless Pant,56,1
2013-09-03,Effortless Pant,72,1
2013-09-04,Effortless Pant,68,1
2013-09-05,Effortless Pant,70,1
2013-09-06,Effortless Pant,71,1
2013-09-07,Effortless Pant,78,1
2013-09-08,Effortless Pant,81,1
2013-09-09,Effortless Pant,57,1
2013-09-10,Effortless Pant,61,1
2013-09-11,Effortless Pant,66,1
2013-09-12,Effortless Pant,66,1
2013-09-13,Effortless Pant,109,1
2013-09-14,Effortless Pant,67,1
2013-09-15,Effortless Pant,95,1
2013-09-16,Effortless Pant,64,1
2013-09-17,Effortless Pant,63,1
2013-09-18,Effortless Pant,68,1
2013-09-19,Effortless Pant,59,1
2013-09-20,Effortless Pant,74,1
2013-09-21,Effortless Pant,91,1
2013-09-22,Effortless Pant,86,1
2013-09-23,Effortless Pant,59,1
2013-09-24,Effortless Pant,58,1
2013-09-25,Effortless Pant,71,1
2013-09-26,Effortless Pant,61,1
2013-09-27,Effortless Pant,80,1
2013-09-28,Effortless Pant,55,1
2013-09-29,Effortless Pant,75,1
2013-09-30,Effortless Pant,43,1
2013-10-01,Effortless Pant,59,1
2013-10-02,Effortless Pant,60,1
2013-10-03,Effortless Pant,68,1
2013-10-04,Effortless Pant,70,1
2013-10-05,Effortless Pant,83,1
2013-10-06,Effortless Pant,83,1
2013-10-07,Effortless Pant,48,1
2013-10-08,Effortless Pant,63,1
2013-10-09,Effortless Pant,50,1
2013-10-10,Effortless Pant,76,1
2013-10-11,Effortless Pant,54,1
2013-10-12,Effortless Pant,63,1
2013-10-13,Effortless Pant,90,1
2013-10-14,Effortless Pant,48,1
2013-10-15,Effortless Pant,61,1
2013-10-16,Effortless Pant,49,1
2013-10-17,Effortless Pant,57,1
2013-10-18,Effortless Pant,61,1
2013-10-19,Effortless Pant,66,1
2013-10-20,Effortless Pant,78,1
2013-10-21,Effortless Pant,70,1
2013-10-22,Effortless Pant,52,1
2013-10-23,Effortless Pant,54,1
2013-10-24,Effortless Pant,80,1
2013-10-25,Effortless Pant,75,1
2013-10-26,Effortless Pant,86,1
2013-10-27,Effortless Pant,79,1
2013-10-28,Effortless Pant,51,1
2013-10-29,Effortless Pant,63,1
2013-10-30,Effortless Pant,63,1
2013-10-31,Effortless Pant,66,1
2013-11-01,Effortless Pant,60,1
2013-11-02,Effortless Pant,85,1
2013-11-03,Effortless Pant,93,1
2013-11-04,Effortless Pant,55,1
2013-11-05,Effortless Pant,57,1
2013-11-06,Effortless Pant,72,1
2013-11-07,Effortless Pant,70,1
2013-11-08,Effortless Pant,78,1
2013-11-09,Effortless Pant,71,1
2013-11-10,Effortless Pant,83,1
2013-11-11,Effortless Pant,54,1
2013-11-12,Effortless Pant,70,1
2013-11-13,Effortless Pant,59,1
2013-11-14,Effortless Pant,60,1
2013-11-15,Effortless Pant,78,1
2013-11-16,Effortless Pant,75,1
2013-11-17,Effortless Pant,87,1
2013-11-18,Effortless Pant,42,1
2013-11-19,Effortless Pant,60,1
2013-11-20,Effortless Pant,61,1
2013-11-21,Effortless Pant,82,1
2013-11-22,Effortless Pant,66,1
2013-11-23,Effortless Pant,89,1
2013-11-24,Effortless Pant,76,1
2013-11-25,Effortless Pant,57,1
2013-11-26,Effortless Pant,71,1
2013-11-27,Effortless Pant,56,1
2013-11-28,Effortless Pant,68,1
2013-11-29,Effortless Pant,71,1
2013-11-30,Effortless Pant,74,1
2013-12-01,Effortless Pant,70,1
2013-12-02,Effortless Pant,33,1
2013-12-03,Effortless Pant,43,1
2013-12-04,Effortless Pant,43,1
2013-12-05,Effortless Pant,50,1
2013-12-06,Effortless Pant,53,1
2013-12-07,Effortless Pant,60,1
2013-12-08,Effortless Pant,67,1
2013-12-09,Effortless Pant,41,1
2013-12-10,Effortless Pant,47,1
2013-12-11,Effortless Pant,57,1
2013-12-12,Effortless Pant,59,1
2013-12-13,Effortless Pant,56,1
2013-12-14,Effortless Pant,42,1
2013-12-15,Effortless Pant,58,1
2013-12-16,Effortless Pant,44,1
2013-12-17,Effortless Pant,58,1
2013-12-18,Effortless Pant,43,1
2013-12-19,Effortless Pant,40,1
2013-12-20,Effortless Pant,45,1
2013-12-21,Effortless Pant,53,1
2013-12-22,Effortless Pant,58,1
2013-12-23,Effortless Pant,41,1
2013-12-24,Effortless Pant,50,1
2013-12-25,Effortless Pant,47,1
2013-12-26,Effortless Pant,58,1
2013-12-27,Effortless Pant,54,1
2013-12-28,Effortless Pant,46,1
2013-12-29,Effortless Pant,72,1
2013-12-30,Effortless Pant,39,1
2013-12-31,Effortless Pant,48,1
2014-01-01,Effortless Pant,45,1
2014-01-02,Effortless Pant,49,1
2014-01-03,Effortless Pant,63,1
2014-01-04,Effortless Pant,68,1
2014-01-05,Effortless Pant,67,1
2014-01-06,Effortless Pant,40,1
2014-01-07,Effortless Pant,45,1
2014-01-08,Effortless Pant,53,1
2014-01-09,Effortless Pant,54,1
2014-01-10,Effortless Pant,50,1
2014-01-11,Effortless Pant,55,1
2014-01-12,Effortless Pant,64,1
2014-01-13,Effortless Pant,34,1
2014-01-14,Effortless Pant,58,1
2014-01-15,Effortless Pant,42,1
2014-01-16,Effortless Pant,51,1
2014-01-17,Effortless Pant,63,1
2014-01-18,Effortless Pant,78,1
2014-01-19,Effortless Pant,67,1
2014-01-20,Effortless Pant,38,1
2014-01-21,Effortless Pant,52,1
2014-01-22,Effortless Pant,52,1
2014-01-23,Effortless Pant,51,1
2014-01-24,Effortless Pant,57,1
2014-01-25,Effortless Pant,66,1
2014-01-26,Effortless Pant,60,1
2014-01-27,Effortless Pant,42,1
2014-01-28,Effortless Pant,46,1
2014-01-29,Effortless Pant,56,1
2014-01-30,Effortless Pant,52,1
2014-01-31,Effortless Pant,62,1
2014-02-01,Effortless Pant,61,1
2014-02-02,Effortless Pant,79,1
2014-02-03,Effortless Pant,57,1
2014-02-04,Effortless Pant,62,1
2014-02-05,Effortless Pant,63,1
2014-02-06,Effortless Pant,58,1
2014-02-07,Effortless Pant,48,1
2014-02-08,Effortless Pant,64,1
2014-02-09,Effortless Pant,70,1
2014-02-10,Effortless Pant,49,1
2014-02-11,Effortless Pant,46,1
2014-02-12,Effortless Pant,44,1
2014-02-13,Effortless Pant,54,1
2014-02-14,Effortless Pant,54,1
2014-02-15,Effortless Pant,72,1
2014-02-16,Effortless Pant,75,1
2014-02-17,Effortless Pant,43,1
2014-02-18,Effortless Pant,58,1
2014-02-19,Effortless Pant,46,1
2014-02-20,Effortless Pant,49,1
2014-02-21,Effortless Pant,63,1
2014-02-22,Effortless Pant,72,1
2014-02-23,Effortless Pant,48,1
2014-02-24,Effortless Pant,48,1
2014-02-25,Effortless Pant,55,1
2014-02-26,Effortless Pant,58,1
2014-02-27,Effortless Pant,53,1
2014-02-28,Effortless Pant,47,1
2014-03-01,Effortless Pant,77,1
2014-03-02,Effortless Pant,74,1
2014-03-03,Effortless Pant,46,1
2014-03-04,Effortless Pant,61,1
2014-03-05,Effortless Pant,74,1
2014-03-06,Effortless Pant,72,1
2014-03-07,Effortless Pant,65,1
2014-03-08,Effortless Pant,70,1
2014-03-09,Effortless Pant,91,1
2014-03-10,Effortless Pant,44,1
2014-03-11,Effortless Pant,58,1
2014-03-12,Effortless Pant,54,1
2014-03-13,Effortless Pant,61,1
2014-03-14,Effortless Pant,71,1
2014-03-15,Effortless Pant,63,1
2014-03-16,Effortless Pant,67,1
2014-03-17,Effortless Pant,62,1
2014-03-18,Effortless Pant,60,1
2014-03-19,Effortless Pant,85,1
2014-03-20,Effortless Pant,54,1
2014-03-21,Effortless Pant,83,1
2014-03-22,Effortless Pant,69,1
2014-03-23,Effortless Pant,90,1
2014-03-24,Effortless Pant,52,1
2014-03-25,Effortless Pant,71,1
2014-03-26,Effortless Pant,73,1
2014-03-27,Effortless Pant,60,1
2014-03-28,Effortless Pant,61,1
2014-03-29,Effortless Pant,84,1
2014-03-30,Effortless Pant,76,1
2014-03-31,Effortless Pant,49,1
2014-04-01,Effortless Pant,66,1
2014-04-02,Effortless Pant,75,1
2014-04-03,Effortless Pant,91,1
2014-04-04,Effortless Pant,93,1
2014-04-05,Effortless Pant,82,1
2014-04-06,Effortless Pant,103,1
2014-04-07,Effortless Pant,59,1
2014-04-08,Effortless Pant,64,1
2014-04-09,Effortless Pant,65,1
2014-04-10,Effortless Pant,73,1
2014-04-11,Effortless Pant,85,1
2014-04-12,Effortless Pant,95,1
2014-04-13,Effortless Pant,106,1
2014-04-14,Effortless Pant,70,1
2014-04-15,Effortless Pant,70,1
2014-04-16,Effortless Pant,70,1
2014-04-17,Effortless Pant,83,1
2014-04-18,Effortless Pant,89,1
2014-04-19,Effortless Pant,95,1
2014-04-20,Effortless Pant,97,1
2014-04-21,Effortless Pant,65,1
2014-04-22,Effortless Pant,91,1
2014-04-23,Effortless Pant,66,1
2014-04-24,Effortless Pant,77,1
2014-04-25,Effortless Pant,82,1
2014-04-26,Effortless Pant,78,1
2014-04-27,Effortless Pant,108,1
2014-04-28,Effortless Pant,66,1
2014-04-29,Effortless Pant,75,1
2014-04-30,Effortless Pant,69,1
2014-05-01,Effortless Pant,97,1
2014-05-02,Effortless Pant,97,1
2014-05-03,Effortless Pant,103,1
2014-05-04,Effortless Pant,106,1
2014-05-05,Effortless Pant,75,1
2014-05-06,Effortless Pant,71,1
2014-05-07,Effortless Pant,75,1
2014-05-08,Effortless Pant,64,1
2014-05-09,Effortless Pant,67,1
2014-05-10,Effortless Pant,97,1
2014-05-11,Effortless Pant,111,1
2014-05-12,Effortless Pant,88,1
2014-05-13,Effortless Pant,71,1
2014-05-14,Effortless Pant,83,1
2014-05-15,Effortless Pant,83,1
2014-05-16,Effortless Pant,95,1
2014-05-17,Effortless Pant,105,1
2014-05-18,Effortless Pant,100,1
2014-05-19,Effortless Pant,68,1
2014-05-20,Effortless Pant,84,1
2014-05-21,Effortless Pant,96,1
2014-05-22,Effortless Pant,77,1
2014-05-23,Effortless Pant,92,1
2014-05-24,Effortless Pant,96,1
2014-05-25,Effortless Pant,105,1
2014-05-26,Effortless Pant,59,1
2014-05-27,Effortless Pant,72,1
2014-05-28,Effortless Pant,64,1
2014-05-29,Effortless Pant,96,1
2014-05-30,Effortless Pant,96,1
2014-05-31,Effortless Pant,86,1
2014-06-01,Effortless Pant,127,1
2014-06-02,Effortless Pant,85,1
2014-06-03,Effortless Pant,100,1
2014-06-04,Effortless Pant,77,1
2014-06-05,Effortless Pant,88,1
2014-06-06,Effortless Pant,90,1
2014-06-07,Effortless Pant,118,1
2014-06-08,Effortless Pant,109,1
2014-06-09,Effortless Pant,83,1
2014-06-10,Effortless Pant,88,1
2014-06-11,Effortless Pant,86,1
2014-06-12,Effortless Pant,66,1
2014-06-13,Effortless Pant,101,1
2014-06-14,Effortless Pant,124,1
2014-06-15,Effortless Pant,110,1
2014-06-16,Effortless Pant,73,1
2014-06-17,Effortless Pant,81,1
2014-06-18,Effortless Pant,79,1
2014-06-19,Effortless Pant,121,1
2014-06-20,Effortless Pant,96,1
2014-06-21,Effortless Pant,91,1
2014-06-22,Effortless Pant,109,1
2014-06-23,Effortless Pant,60,1
2014-06-24,Effortless Pant,81,1
2014-06-25,Effortless Pant,71,1
2014-06-26,Effortless Pant,115,1
2014-06-27,Effortless Pant,85,1
2014-06-28,Effortless Pant,115,1
2014-06-29,Effortless Pant,105,1
2014-06-30,Effortless Pant,62,1
2014-07-01,Effortless Pant,97,1
2014-07-02,Effortless Pant,101,1
2014-07-03,Effortless Pant,90,1
2014-07-04,Effortless Pant,105,1
2014-07-05,Effortless Pant,87,1
2014-07-06,Effortless Pant,118,1
2014-07-07,Effortless Pant,83,1
2014-07-08,Effortless Pant,115,1
2014-07-09,Effortless Pant,85,1
2014-07-10,Effortless Pant,105,1
2014-07-11,Effortless Pant,90,1
2014-07-12,Effortless Pant,105,1
2014-07-13,Effortless Pant,131,1
2014-07-14,Effortless Pant,74,1
2014-07-15,Effortless Pant,88,1
2014-07-16,Effortless Pant,97,1
2014-07-17,Effortless Pant,84,1
2014-07-18,Effortless Pant,98,1
2014-07-19,Effortless Pant,104,1
2014-07-20,Effortless Pant,110,1
2014-07-21,Effortless Pant,78,1
2014-07-22,Effortless Pant,90,1
2014-07-23,Effortless Pant,93,1
2014-07-24,Effortless Pant,94,1
2014-07-25,Effortless Pant,93,1
2014-07-26,Effortless Pant,117,1
2014-07-27,Effortless Pant,112,1
2014-07-28,Effortless Pant,84,1
2014-07-29,Effortless Pant,87,1
2014-07-30,Effortless Pant,83,1
2014-07-31,Effortless Pant,96,1
2014-08-01,Effortless Pant,95,1
2014-08-02,Effortless Pant,89,1
2014-08-03,Effortless Pant,99,1
2014-08-04,Effortless Pant,78,1
2014-08-05,Effortless Pant,77,1
2014-08-06,Effortless Pant,93,1
2014-08-07,Effortless Pant,88,1
2014-08-08,Effortless Pant,85,1
2014-08-09,Effortless Pant,121,1
2014-08-10,Effortless Pant,95,1
2014-08-11,Effortless Pant,61,1
2014-08-12,Effortless Pant,87,1
2014-08-13,Effortless Pant,81,1
2014-08-14,Effortless Pant,90,1
2014-08-15,Effortless Pant,81,1
2014-08-16,Effortless Pant,104,1
2014-08-17,Effortless Pant,102,1
2014-08-18,Effortless Pant,74,1
2014-08-19,Effortless Pant,78,1
2014-08-20,Effortless Pant,81,1
2014-08-21,Effortless Pant,109,1
2014-08-22,Effortless Pant,110,1
2014-08-23,Effortless Pant,83,1
2014-08-24,Effortless Pant,89,1
2014-08-25,Effortless Pant,55,1
2014-08-26,Effortless Pant,79,1
2014-08-27,Effortless Pant,87,1
2014-08-28,Effortless Pant,84,1
2014-08-29,Effortless Pant,90,1
2014-08-30,Effortless Pant,102,1
2014-08-31,Effortless Pant,96,1
2014-09-01,Effortless Pant,53,1
2014-09-02,Effortless Pant,73,1
2014-09-03,Effortless Pant,89,1
2014-09-04,Effortless Pant,81,1
2014-09-05,Effortless Pant,88,1
2014-09-06,Effortless Pant,72,1
2014-09-07,Effortless Pant,98,1
2014-09-08,Effortless Pant,54,1
2014-09-09,Effortless Pant,68,1
2014-09-10,Effortless Pant,74,1
2014-09-11,Effortless Pant,74,1
2014-09-12,Effortless Pant,94,1
2014-09-13,Effortless Pant,94,1
2014-09-14,Effortless Pant,110,1
2014-09-15,Effortless Pant,63,1
2014-09-16,Effortless Pant,86,1
2014-09-17,Effortless Pant,81,1
2014-09-18,Effortless Pant,74,1
2014-09-19,Effortless Pant,93,1
2014-09-20,Effortless Pant,88,1
2014-09-21,Effortless Pant,109,1
2014-09-22,Effortless Pant,69,1
2014-09-23,Effortless Pant,81,1
2014-09-24,Effortless Pant,73,1
2014-09-25,Effortless Pant,75,1
2014-09-26,Effortless Pant,85,1
2014-09-27,Effortless Pant,85,1
2014-09-28,Effortless Pant,101,1
2014-09-29,Effortless Pant,61,1
2014-09-30,Effortless Pant,85,1
2014-10-01,Effortless Pant,73,1
2014-10-02,Effortless Pant,83,1
2014-10-03,Effortless Pant,68,1
2014-10-04,Effortless Pant,76,1
2014-10-05,Effortless Pant,73,1
2014-10-06,Effortless Pant,57,1
2014-10-07,Effortless Pant,65,1
2014-10-08,Effortless Pant,74,1
2014-10-09,Effortless Pant,77,1
2014-10-10,Effortless Pant,76,1
2014-10-11,Effortless Pant,81,1
2014-10-12,Effortless Pant,83,1
2014-10-13,Effortless Pant,60,1
2014-10-14,Effortless Pant,72,1
2014-10-15,Effortless Pant,61,1
2014-10-16,Effortless Pant,78,1
2014-10-17,Effortless Pant,98,1
2014-10-18,Effortless Pant,90,1
2014-10-19,Effortless Pant,92,1
2014-10-20,Effortless Pant,52,1
2014-10-21,Effortless Pant,59,1
2014-10-22,Effortless Pant,94,1
2014-10-23,Effortless Pant,80,1
2014-10-24,Effortless Pant,79,1
2014-10-25,Effortless Pant,77,1
2014-10-26,Effortless Pant,112,1
2014-10-27,Effortless Pant,71,1
2014-10-28,Effortless Pant,73,1
2014-10-29,Effortless Pant,75,1
2014-10-30,Effortless Pant,66,1
2014-10-31,Effortless Pant,80,1
2014-11-01,Effortless Pant,109,1
2014-11-02,Effortless Pant,84,1
2014-11-03,Effortless Pant,62,1
2014-11-04,Effortless Pant,74,1
2014-11-05,Effortless Pant,74,1
2014-11-06,Effortless Pant,60,1
2014-11-07,Effortless Pant,95,1
2014-11-08,Effortless Pant,91,1
2014-11-09,Effortless Pant,94,1
2014-11-10,Effortless Pant,63,1
2014-11-11,Effortless Pant,64,1
2014-11-12,Effortless Pant,87,1
2014-11-13,Effortless Pant,80,1
2014-11-14,Effortless Pant,85,1
2014-11-15,Effortless Pant,81,1
2014-11-16,Effortless Pant,98,1
2014-11-17,Effortless Pant,56,1
2014-11-18,Effortless Pant,64,1
2014-11-19,Effortless Pant,57,1
2014-11-20,Effortless Pant,76,1
2014-11-21,Effortless Pant,96,1
2014-11-22,Effortless Pant,99,1
2014-11-23,Effortless Pant,102,1
2014-11-24,Effortless Pant,66,1
2014-11-25,Effortless Pant,73,1
2014-11-26,Effortless Pant,62,1
2014-11-27,Effortless Pant,88,1
2014-11-28,Effortless Pant,89,1
2014-11-29,Effortless Pant,86,1
2014-11-30,Effortless Pant,98,1
2014-12-01,Effortless Pant,54,1
2014-12-02,Effortless Pant,47,1
2014-12-03,Effortless Pant,51,1
2014-12-04,Effortless Pant,54,1
2014-12-05,Effortless Pant,51,1
2014-12-06,Effortless Pant,56,1
2014-12-07,Effortless Pant,65,1
2014-12-08,Effortless Pant,51,1
2014-12-09,Effortless Pant,49,1
2014-12-10,Effortless Pant,55,1
2014-12-11,Effortless Pant,60,1
2014-12-12,Effortless Pant,55,1
2014-12-13,Effortless Pant,53,1
2014-12-14,Effortless Pant,69,1
2014-12-15,Effortless Pant,41,1
2014-12-16,Effortless Pant,60,1
2014-12-17,Effortless Pant,57,1
2014-12-18,Effortless Pant,61,1
2014-12-19,Effortless Pant,72,1
2014-12-20,Effortless Pant,66,1
2014-12-21,Effortless Pant,86,1
2014-12-22,Effortless Pant,51,1
2014-12-23,Effortless Pant,61,1
2014-12-24,Effortless Pant,53,1
2014-12-25,Effortless Pant,69,1
2014-12-26,Effortless Pant,59,1
2014-12-27,Effortless Pant,61,1
2014-12-28,Effortless Pant,70,1
2014-12-29,Effortless Pant,52,1
2014-12-30,Effortless Pant,63,1
2014-12-31,Effortless Pant,46,1
2015-01-01,Effortless Pant,54,1
2015-01-02,Effortless Pant,47,1
2015-01-03,Effortless Pant,61,1
2015-01-04,Effortless Pant,79,1
2015-01-05,Effortless Pant,57,1
